Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
184208848,8,Kevin Costner,"Adventure, Drama, Western",1990,240266
27545445,8,Spike Lee,"Comedy, Drama",1989,89429
178800000,8,Barry Levinson,Drama,1988,473064
553171,8,Katsuhiro Ôtomo,"Animation, Action, Sci-Fi",1988,164918
30857814,8,Rob Reiner,"Adventure, Family, Fantasy",1987,393899
3333969,8,Wim Wenders,"Drama, Fantasy, Romance",1987,64722
4542825,8,Louis Malle,"Drama, War",1987,31163
23530892,8,Hayao Miyazaki,"Animation, Adventure, Drama",1986,150140
38400000,8,James Cameron,"Action, Sci-Fi",1984,799795
52767889,8,Richard Attenborough,"Biography, Drama, History",1982,217664
23530892,8,Akira Kurosawa,"Drama, History, War",1980,32195
30177511,8,Hal Ashby,"Comedy, Drama",1979,65625
39200000,8,Woody Allen,"Comedy, Romance",1977,251823
260000000,8,Steven Spielberg,"Adventure, Thriller",1975,543388
50000000,8,Sidney Lumet,"Biography, Crime, Drama",1975,235652
86300000,8,Mel Brooks,Comedy,1974,143359
53267000,8,Franklin J. Schaffner,"Biography, Crime, Drama",1973,121627
232906145,8,William Friedkin,Horror,1973,362393
4081254,8,Joseph L. Mankiewicz,"Mystery, Thriller",1972,44748
29133000,8,Peter Bogdanovich,"Drama, Romance",1971,42456
80500000,8,Norman Jewison,"Drama, Family, Musical",1971,39491
541940,8,Bernardo Bertolucci,Drama,1970,27067
102308889,8,George Roy Hill,"Biography, Crime, Drama",1969,201888
23530892,8,Roman Polanski,"Drama, Horror",1968,193674
33395426,8,Franklin J. Schaffner,"Adventure, Sci-Fi",1968,165167
104945305,8,Mike Nichols,"Comedy, Drama, Romance",1967,253676
23530892,8,Mike Nichols,Drama,1966,68926
163214286,8,Robert Wise,"Biography, Drama, Family",1965,205425
111722000,8,David Lean,"Drama, Romance, War",1965,69903
14500000,8,Sergio Leone,"Action, Drama, Western",1964,198219
50690,8,Federico Fellini,Drama,1963,108844
23530892,8,Jean-Luc Godard,Drama,1962,28057
8284000,8,Robert Rossen,"Drama, Sport",1961,75067
19516000,8,Federico Fellini,"Comedy, Drama",1960,66621
12535000,8,Howard Hawks,"Action, Drama, Western",1959,56305
11900000,8,Otto Preminger,"Crime, Drama, Mystery",1959,59847
2237659,8,Orson Welles,"Crime, Drama, Film-Noir",1958,98431
17570324,8,Richard Brooks,Drama,1958,45062
23530892,8,Alexander Mackendrick,"Drama, Film-Noir",1957,28137
23530892,8,Stanley Kubrick,"Crime, Drama, Film-Noir",1956,81702
654000,8,Charles Laughton,"Crime, Drama, Film-Noir",1955,81980
23530892,8,Federico Fellini,Drama,1954,58314
23530892,8,Henri-Georges Clouzot,"Crime, Drama, Horror",1955,61503
23530892,8,Billy Wilder,"Comedy, Drama, War",1953,51046
23530892,8,William Wyler,"Comedy, Romance",1953,127256
8000000,8,Elia Kazan,Drama,1951,99182
23530892,8,Nicholas Ray,"Drama, Film-Noir, Mystery",1950,26784
23530892,8,Robert Hamer,"Comedy, Crime",1949,34485
23530892,8,Alfred Hitchcock,"Crime, Drama, Mystery",1948,129783
23530892,8,Jacques Tourneur,"Crime, Drama, Film-Noir",1947,32784
23530892,8,David Lean,"Drama, Romance",1945,35601
4360000,8,Otto Preminger,"Drama, Film-Noir, Mystery",1944,42725
23650000,8,William Wyler,"Drama, Romance, War",1946,57259
23530892,8,Frank Capra,"Comedy, Crime, Thriller",1942,65101
2108060,8,John Huston,"Film-Noir, Mystery",1941,148928
55000,8,John Ford,"Drama, History",1940,85559
2076020,8,Victor Fleming,"Adventure, Family, Fantasy",1939,371379
23530892,8,Jean Renoir,"Comedy, Drama",1939,26725
23530892,8,W.S. Van Dyke,"Comedy, Crime, Mystery",1934,26642
3270000,8,Lewis Milestone,"Drama, War",1930,57318
50970,8,Sergei M. Eisenstein,"Drama, History, Thriller",1925,53054
165359751,7.9,Rian Johnson,"Comedy, Crime, Drama",2019,454203
23530892,7.9,Mukesh Chhabra,"Comedy, Drama, Romance",2020,111478
3313513,7.9,Hirokazu Koreeda,"Crime, Drama",2018,62754
2000000,7.9,Noah Baumbach,"Comedy, Drama, Romance",2019,246644
18095701,7.9,Luca Guadagnino,"Drama, Romance",2017,212651
258168,7.9,Ken Loach,Drama,2016,53818
32015231,7.9,Wes Anderson,"Animation, Adventure, Comedy",2018,139114
5202582,7.9,Taika Waititi,"Adventure, Comedy, Drama",2016,111483
5875006,7.9,Matt Ross,"Comedy, Drama",2016,189400
3237118,7.9,John Carney,"Comedy, Drama, Music",2016,85109
315058289,7.9,Taika Waititi,"Action, Adventure, Comedy",2017,587775
32381218,7.9,Dan Gilroy,"Crime, Drama, Thriller",2014,466134
349555,7.9,Taika Waititi,"Comedy, Drama, War",2019,297918
100546139,7.9,Denis Villeneuve,"Drama, Sci-Fi",2016,594181
936662225,7.9,J.J. Abrams,"Action, Adventure, Sci-Fi",2015,860823
8114627,7.9,Richard Linklater,"Drama, Romance",2013,141457
233921534,7.9,Bryan Singer,"Action, Adventure, Sci-Fi",2014,659763
138730,7.9,Nuri Bilge Ceylan,"Crime, Drama",2011,41995
44671682,7.9,Michel Hazanavicius,"Comedy, Drama, Romance",2011,230624
100206256,7.9,Doug Liman,"Action, Adventure, Sci-Fi",2014,600004
6739492,7.9,Michael Haneke,"Drama, Romance",2012,93090
7000000,7.9,Martin Scorsese,"Biography, Crime, Drama",2019,324720
2084637,7.9,Jacques Audiard,"Crime, Drama",2009,93560
5009677,7.9,Duncan Jones,"Drama, Mystery, Sci-Fi",2009,335152
2122065,7.9,Tomas Alfredson,"Crime, Drama, Fantasy",2008,205609
115646235,7.9,Neill Blomkamp,"Action, Sci-Fi, Thriller",2009,638202
26236603,7.9,Darren Aronofsky,"Drama, Sport",2008,289415
410800,7.9,Imtiaz Ali,"Comedy, Drama, Romance",2007,47720
25379975,7.9,Richard Linklater,Drama,2014,335533
1185783,7.9,Cristian Mungiu,Drama,2007,56625
257730019,7.9,J.J. Abrams,"Action, Adventure, Sci-Fi",2009,577336
7757130,7.9,Martin McDonagh,"Comedy, Crime, Drama",2008,390334
23530892,7.9,Richard Schenkman,"Drama, Fantasy, Mystery",2007,174125
13756082,7.9,Clint Eastwood,"Action, Adventure, Drama",2006,154011
2280348,7.9,Tarsem Singh,"Adventure, Drama, Fantasy",2006,107290
124987023,7.9,Ang Lee,"Adventure, Drama, Fantasy",2012,580708
21002919,7.9,Wes Anderson,"Animation, Adventure, Comedy",2009,199696
23530892,7.9,Jean-Marc Vallée,"Comedy, Drama",2005,31476
3635164,7.9,Christophe Barratier,"Drama, Music",2004,57430
318412101,7.9,Jon Favreau,"Action, Adventure, Sci-Fi",2008,939644
13542874,7.9,Edgar Wright,"Comedy, Horror",2004,512249
23530892,7.9,Fatih Akin,"Drama, Romance",2004,51325
90135191,7.9,Clint Eastwood,"Crime, Drama, Mystery",2003,419420
249358727,7.9,Alfonso Cuarón,"Adventure, Family, Fantasy",2004,552493
53710019,7.9,Yimou Zhang,"Action, Adventure, History",2002,173999
9284265,7.9,Pedro Almodóvar,"Drama, Mystery, Romance",2002,104691
1059830,7.9,Danis Tanovic,"Comedy, Drama, War",2001,44618
1000045,7.9,Shin'ichirô Watanabe,"Animation, Action, Crime",2001,42897
121661683,7.9,Doug Liman,"Action, Mystery, Thriller",2002,508771
1221261,7.9,Fabián Bielinsky,"Crime, Drama, Thriller",2000,49721
35552383,7.9,Alfonso Cuarón,"Adventure, Drama, Sci-Fi",2006,465113
32534850,7.9,Cameron Crowe,"Adventure, Comedy, Drama",2000,252586
7220243,7.9,David Lynch,"Drama, Mystery, Thriller",2001,322031
245852179,7.9,John Lasseter,"Animation, Adventure, Comedy",1999,527512
26400640,7.9,Paul Thomas Anderson,Drama,1997,239473
23530892,7.9,Yoshifumi Kondô,"Animation, Drama, Family",1995,51943
2201126,7.9,Lee Tamahori,"Crime, Drama",1994,31590
12281500,7.9,Tony Scott,"Crime, Drama, Romance",1993,206918
1324974,7.9,Krzysztof Kieslowski,"Drama, Music, Mystery",1993,89836
23530892,7.9,Yoshiaki Kawajiri,"Animation, Action, Adventure",1993,34529
36948322,7.9,Brian De Palma,"Crime, Drama, Thriller",1993,201000
56362352,7.9,Tim Burton,"Drama, Fantasy, Romance",1990,447368
14743391,7.9,Jim Sheridan,"Biography, Drama",1989,68076
18254702,7.9,Woody Allen,"Comedy, Drama",1989,54670
76270454,7.9,Brian De Palma,"Crime, Drama, Thriller",1987,281842
40084041,7.9,Woody Allen,"Comedy, Drama",1986,67176
9929135,7.9,Terry Gilliam,"Drama, Sci-Fi",1985,187567
188751,7.9,Rob Reiner,"Comedy, Music",1984,128812
20605209,7.9,Bob Clark,"Comedy, Family",1983,132947
57229890,7.9,John Landis,"Action, Adventure, Comedy",1980,183182
45700000,7.9,Woody Allen,"Comedy, Drama, Romance",1979,131436
37823676,7.9,Bob Fosse,"Drama, Music, Musical",1979,28223
5100000,7.9,George A. Romero,"Action, Adventure, Horror",1978,111512
70600000,7.9,Alan J. Pakula,"Biography, Drama, History",1976,103031
61001,7.9,Alejandro Jodorowsky,"Adventure, Drama, Fantasy",1973,37183
23530892,7.9,Federico Fellini,"Comedy, Drama, Family",1973,39897
198809,7.9,Luis Buñuel,Comedy,1972,38737
23530892,7.9,Werner Herzog,"Action, Adventure, Biography",1972,52397
23530892,7.9,Hal Ashby,"Comedy, Drama, Romance",1971,70826
61700000,7.9,Franklin J. Schaffner,"Biography, Drama, War",1970,93741
12064472,7.9,Sam Peckinpah,"Action, Adventure, Western",1969,77401
89029,7.9,George A. Romero,"Horror, Thriller",1968,116557
22276975,7.9,Anthony Harvey,"Biography, Drama, History",1968,29003
24379978,7.9,Norman Jewison,"Crime, Drama, Mystery",1967,67804
13474588,7.9,Stanley Donen,"Comedy, Mystery, Romance",1963,68689
23530892,7.9,John Frankenheimer,"Drama, Thriller",1962,71122
30000000,7.9,Stanley Kubrick,"Adventure, Biography, Drama",1960,124339
23530892,7.9,Michelangelo Antonioni,"Drama, Mystery",1960,26542
88300,7.9,Alain Resnais,"Drama, Romance",1959,28421
93740000,7.9,Cecil B. DeMille,"Adventure, Drama",1956,63560
23530892,7.9,John Ford,"Adventure, Drama, Western",1956,80316
23530892,7.9,Elia Kazan,Drama,1955,40313
9450000,7.9,Fred Zinnemann,"Drama, Thriller, Western",1952,97222
7630000,7.9,Alfred Hitchcock,"Crime, Film-Noir, Thriller",1951,123341
23530892,7.9,Henry Koster,"Comedy, Drama, Fantasy",1950,52573
2650000,7.9,George Seaton,"Comedy, Drama, Family",1947,41625
10464000,7.9,Alfred Hitchcock,"Drama, Film-Noir, Romance",1946,92306
6540000,7.9,Howard Hawks,"Crime, Film-Noir, Mystery",1946,78796
9460000,7.9,Billy Wilder,"Drama, Film-Noir",1945,33549
23530892,7.9,George Cukor,"Comedy, Romance",1940,63550
296000,7.9,Howard Hawks,"Comedy, Drama, Romance",1940,53667
3981000,7.9,Michael Curtiz,"Action, Adventure, Romance",1938,47175
2537520,7.9,Sam Wood,"Comedy, Music, Musical",1935,30580
10000000,7.9,Merian C. Cooper,"Adventure, Horror, Sci-Fi",1933,78991
23530892,7.9,Tod Browning,"Drama, Horror",1932,42117
23530892,7.9,F.W. Murnau,"Fantasy, Horror",1922,88794
23530892,7.8,Guy Ritchie,"Action, Comedy, Crime",2019,237392
23530892,7.8,Meghna Gulzar,"Action, Drama, Thriller",2018,25344
23530892,7.8,Darius Marder,"Drama, Music",2019,27187
2402067,7.8,Asghar Farhadi,Drama,2016,51240
188373161,7.8,Christopher Nolan,"Action, Drama, History",2017,555092
23530892,7.8,Paolo Genovese,"Comedy, Drama",2016,57168
169607287,7.8,Theodore Melfi,"Biography, Drama, History",2016,200876
40442052,7.8,Paul King,"Adventure, Comedy, Family",2017,61594
23530892,7.8,Abhishek Chaubey,"Action, Crime, Drama",2016,27175
48023088,7.8,Travis Knight,"Animation, Action, Adventure",2016,118035
1782795,7.8,Neeraj Pandey,"Biography, Drama, Sport",2016,40416
47695120,7.8,Kenneth Lonergan,Drama,2016,246963
435266,7.8,Martin Zandvliet,"Drama, History, War",2015,35539
532177324,7.8,Gareth Edwards,"Action, Adventure, Sci-Fi",2016,556608
408084349,7.8,Anthony Russo,"Action, Adventure, Sci-Fi",2016,663649
54117416,7.8,Quentin Tarantino,"Crime, Drama, Mystery",2015,517059
108101214,7.8,Greta Gerwig,"Drama, Romance",2019,143250
6735118,7.8,Dorota Kobiela,"Animation, Biography, Crime",2017,50778
23530892,7.8,Matthew Warchus,"Biography, Comedy, Drama",2014,51841
1330596,7.8,Asghar Farhadi,"Drama, Mystery",2013,45002
2852400,7.8,Paolo Sorrentino,Drama,2013,81125
4231500,7.8,Ritesh Batra,"Drama, Romance",2013,50523
169209,7.8,Shoojit Sircar,"Comedy, Romance",2012,39710
222527828,7.8,Don Hall,"Animation, Action, Adventure",2014,410983
15322921,7.8,Richard Curtis,"Comedy, Drama, Fantasy",2013,303032
1670773,7.8,Gauri Shinde,"Comedy, Drama, Family",2012,33618
5209580,7.8,Hayao Miyazaki,"Animation, Biography, Drama",2013,73690
434038008,7.8,Josh Cooley,"Animation, Adventure, Comedy",2019,203177
85433,7.8,Giuseppe Tornatore,"Crime, Drama, Mystery",2013,108399
45512466,7.8,Wes Anderson,"Comedy, Drama, Romance",2012,318789
177002924,7.8,Dean DeBlois,"Animation, Action, Adventure",2014,305611
70259870,7.8,Adam McKay,"Biography, Comedy, Drama",2015,362942
23530892,7.8,Tetsuya Nakashima,"Drama, Thriller",2010,35713
128392,7.8,Jee-woon Kim,"Action, Crime, Drama",2010,111252
102515793,7.8,David Fincher,"Crime, Drama, Mystery",2011,423010
107100855,7.8,Paul Greengrass,"Adventure, Biography, Crime",2013,421244
6460,7.8,Jeong-beom Lee,"Action, Crime, Drama",2010,62848
161197785,7.8,F. Gary Gray,"Biography, Drama, History",2015,179264
547292,7.8,Bong Joon Ho,"Crime, Drama, Mystery",2009,52758
23530892,7.8,Hong-jin Na,"Action, Crime, Thriller",2008,58468
258366855,7.8,Peter Jackson,"Adventure, Fantasy",2013,601408
2222647,7.8,Michael Haneke,"Drama, History, Mystery",2009,68715
10095170,7.8,Niels Arden Oplev,"Crime, Drama, Mystery",2009,208994
23530892,7.8,Aaron Sorkin,"Drama, History, Thriller",2020,89896
23530892,7.8,Thomas Vinterberg,"Comedy, Drama",2020,33931
93617009,7.8,David O. Russell,"Biography, Drama, Sport",2010,340584
145000989,7.8,Pierre Morel,"Action, Thriller",2008,564791
9030581,7.8,Mark Herman,"Drama, History, War",2008,190748
9439923,7.8,John Carney,"Drama, Music, Romance",2007,110656
303003568,7.8,Peter Jackson,"Adventure, Fantasy",2012,757377
741283,7.8,Fatih Akin,Drama,2007,30827
50927067,7.8,Joe Wright,"Drama, Mystery, Romance",2007,251370
35061555,7.8,Nicolas Winding Refn,"Crime, Drama",2011,571571
130164645,7.8,Ridley Scott,"Biography, Crime, Drama",2007,392449
760507625,7.8,James Cameron,"Action, Adventure, Fantasy",2009,1118998
3600,7.8,Jaco Van Dormael,"Drama, Fantasy, Romance",2009,216421
50866635,7.8,Mel Gibson,"Action, Adventure, Drama",2006,291018
59891098,7.8,Jonathan Dayton,"Comedy, Drama",2006,439856
23637265,7.8,Edgar Wright,"Action, Comedy, Mystery",2007,463466
127509326,7.8,David Fincher,"Drama, Fantasy, Romance",2008,589160
2921738,7.8,Yash Chopra,"Drama, Family, Musical",2004,49050
1305,7.8,Anders Thomas Jensen,"Comedy, Crime, Drama",2005,45717
38405088,7.8,Joe Wright,"Drama, Romance",2005,258924
5128124,7.8,Roger Donaldson,"Biography, Drama, Sport",2005,51980
128985,7.8,Satoshi Kon,"Animation, Adventure, Comedy",2003,31658
25514517,7.8,Joss Whedon,"Action, Adventure, Sci-Fi",2005,283310
119519402,7.8,James Mangold,"Biography, Drama, Music",2005,234207
15280,7.8,Mikael Håfström,Drama,2003,35682
81001787,7.8,Nick Cassavetes,"Drama, Romance",2004,520284
16756372,7.8,Walter Salles,"Adventure, Biography, Drama",2004,96703
181655,7.8,Lukas Moodysson,"Crime, Drama",2002,42673
7002255,7.8,Sylvain Chomet,"Animation, Comedy, Drama",2003,50622
23530892,7.8,Chan-wook Park,"Action, Drama, Thriller",2000,26518
54234062,7.8,Kevin Reynolds,"Action, Adventure, Drama",2002,129022
2892011,7.8,Richard Linklater,"Animation, Drama, Fantasy",2001,60684
115654751,7.8,Boaz Yakin,"Biography, Drama, Sport",2000,198089
128078872,7.8,Ang Lee,"Action, Adventure, Fantasy",2000,253228
8264530,7.8,Pedro Almodóvar,Drama,1999,89058
233632142,7.8,Robert Zemeckis,"Adventure, Drama, Romance",2000,524235
25812,7.8,Troy Duffy,"Action, Crime, Thriller",1999,227143
28965197,7.8,Michael Mann,"Biography, Drama, Thriller",1999,159886
32481825,7.8,Joe Johnston,"Biography, Drama, Family",1999,82855
267665011,7.8,Andrew Adamson,"Animation, Adventure, Comedy",2001,613941
659325379,7.8,James Cameron,"Drama, Romance",1997,1046089
233986,7.8,Takeshi Kitano,"Crime, Drama, Romance",1997,27712
12339633,7.8,Andrew Niccol,"Drama, Sci-Fi, Thriller",1997,280845
48323648,7.8,David Fincher,"Action, Drama, Mystery",1997,345096
4040691,7.8,Lars von Trier,Drama,1996,62428
5887457,7.8,Tim Burton,"Biography, Comedy, Drama",1994,164937
9170214,7.8,Lasse Hallström,Drama,1993,215034
56505065,7.8,George P. Cosmatos,"Action, Biography, Drama",1993,126871
32416586,7.8,David Mickey Evans,"Comedy, Drama, Family",1993,78963
22954968,7.8,James Ivory,"Drama, Romance",1993,66065
1769305,7.8,Mike Leigh,"Comedy, Drama",1993,34635
183875760,7.8,Andrew Davis,"Action, Crime, Drama",1993,267684
17266971,7.8,Robert De Niro,"Crime, Drama, Romance",1993,128171
5617391,7.8,Kevin Altieri,"Animation, Action, Crime",1993,43690
23530892,7.8,John Woo,"Action, Crime, Thriller",1992,46700
2015810,7.8,Jim Jarmusch,"Comedy, Drama",1991,55362
1999955,7.8,Krzysztof Kieslowski,"Drama, Fantasy, Music",1991,42376
57504069,7.8,John Singleton,"Crime, Drama",1991,126082
61276872,7.8,Rob Reiner,"Drama, Thriller",1990,184740
52096475,7.8,Penny Marshall,"Biography, Drama",1990,125276
23530892,7.8,Hayao Miyazaki,"Animation, Adventure, Drama",1989,124193
26830000,7.8,Edward Zwick,"Biography, Drama, History",1989,122779
23530892,7.8,John Woo,"Action, Crime, Drama",1989,45624
118500000,7.8,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",1989,481918
34603943,7.8,Alan Parker,"Crime, Drama, History",1988,88214
59735548,7.8,John McTiernan,"Action, Adventure, Sci-Fi",1987,371387
5923044,7.8,Sam Raimi,"Action, Comedy, Fantasy",1987,148359
70136369,7.8,John Hughes,Comedy,1986,321382
1436000,7.8,Jim Jarmusch,"Comedy, Crime, Drama",1986,47834
61503218,7.8,Richard Donner,"Adventure, Comedy, Family",1985,244430
98467863,7.8,Steven Spielberg,Drama,1985,78321
45875171,7.8,John Hughes,"Comedy, Drama",1985,357026
34700291,7.8,Roland Joffé,"Biography, Drama, History",1984,51585
238632124,7.8,Ivan Reitman,"Action, Comedy, Fantasy",1984,355413
21500000,7.8,Philip Kaufman,"Adventure, Biography, Drama",1983,56235
2500000,7.8,Martin Scorsese,"Comedy, Crime, Drama",1982,88511
435110554,7.8,Steven Spielberg,"Family, Sci-Fi",1982,372490
106260000,7.8,Robert Benton,Drama,1979,133351
23530892,7.8,Terrence Malick,"Drama, Romance",1978,52852
31800000,7.8,Clint Eastwood,Western,1976,65659
23530892,7.8,John Huston,"Adventure, History, War",1975,44917
4420000,7.8,Francis Ford Coppola,"Drama, Mystery, Thriller",1974,98611
193817,7.8,René Laloux,"Animation, Sci-Fi",1973,25229
16056255,7.8,Fred Zinnemann,"Crime, Drama, Thriller",1973,37445
23530892,7.8,Terrence Malick,"Action, Crime, Drama",1973,66009
42765000,7.8,Bob Fosse,"Drama, Music, Musical",1972,48334
4000000,7.8,Mel Stuart,"Family, Fantasy, Musical",1971,178731
44785053,7.8,John Schlesinger,Drama,1969,101124
17550741,7.8,Terence Young,Thriller,1967,27733
56700000,7.8,Stanley Kramer,"Comedy, Drama",1967,39642
23530892,7.8,Arthur Penn,"Action, Biography, Crime",1967,102415
72000000,7.8,George Cukor,"Drama, Family, Musical",1964,86525
102272727,7.8,Robert Stevenson,"Comedy, Family, Fantasy",1964,158029
39100000,7.8,Ken Annakin,"Action, Drama, History",1962,52141
23530892,7.8,François Truffaut,"Drama, Romance",1962,37605
2616000,7.8,Jack Clayton,Horror,1961,27007
336705,7.8,Jean-Luc Godard,"Crime, Drama",1960,73251
23530892,7.8,Howard Hawks,"Action, Adventure, Drama",1948,28167
23530892,7.8,John Huston,"Action, Crime, Drama",1948,36995
23530892,7.8,Howard Hawks,"Adventure, Comedy, Film-Noir",1944,31053
23530892,7.8,Alfred Hitchcock,"Film-Noir, Thriller",1943,59556
23530892,7.8,John Ford,"Adventure, Drama, Western",1939,43621
23530892,7.8,Alfred Hitchcock,"Mystery, Thriller",1938,47400
23530892,7.8,Howard Hawks,"Comedy, Family, Romance",1938,55163
4360000,7.8,James Whale,"Drama, Horror, Sci-Fi",1935,43542
23530892,7.8,Leo McCarey,"Comedy, Musical, War",1933,55581
23530892,7.8,Howard Hawks,"Action, Crime, Drama",1932,25312
23530892,7.8,James Whale,"Drama, Horror, Sci-Fi",1931,65341
23530892,7.7,Alfonso Cuarón,Drama,2018,140375
335609,7.7,Francis Lee,"Drama, Romance",2017,25198
324591735,7.7,David Leitch,"Action, Adventure, Comedy",2018,478586
33800859,7.7,Taylor Sheridan,"Crime, Drama, Mystery",2017,205444
176040665,7.7,Jordan Peele,"Horror, Mystery, Thriller",2017,492851
220159104,7.7,Christopher McQuarrie,"Action, Adventure, Thriller",2018,291257
3358518,7.7,Hannes Holm,"Comedy, Drama, Romance",2015,47444
3333000,7.7,Jemaine Clement,"Comedy, Horror",2014,157498
765127,7.7,James Simone,"Animation, Drama, Family",2014,32798
35893537,7.7,James Marsh,"Biography, Drama, Romance",2014,404182
128261724,7.7,Matthew Vaughn,"Action, Adventure, Comedy",2014,590440
124872350,7.7,Josh Boone,"Drama, Romance",2014,344312
6743776,7.7,Alfonso Gomez-Rejon,"Comedy, Drama",2015,123210
42340598,7.7,Alejandro G. Iñárritu,"Comedy, Drama",2014,580291
2199675,7.7,Abdellatif Kechiche,"Drama, Romance",2013,138741
1122527,7.7,Abhishek Kapoor,"Drama, Sport",2013,32628
175058,7.7,Felix van Groeningen,"Drama, Music, Romance",2012,39379
259766572,7.7,Anthony Russo,"Action, Adventure, Sci-Fi",2014,736182
985912,7.7,Imtiaz Ali,"Drama, Music, Musical",2011,39501
17654912,7.7,Alexander Payne,"Adventure, Comedy, Drama",2013,112298
189422889,7.7,Rich Moore,"Animation, Adventure, Comedy",2012,380195
1339152,7.7,Mark Osborne,"Animation, Adventure, Drama",2015,56720
71177,7.7,Tony Kaye,Drama,2011,77071
56816662,7.7,Woody Allen,"Comedy, Fantasy, Romance",2011,388089
257760692,7.7,Christopher Miller,"Animation, Action, Adventure",2014,323982
274092705,7.7,Alfonso Cuarón,"Drama, Sci-Fi, Thriller",2013,769145
228778661,7.7,J.J. Abrams,"Action, Adventure, Sci-Fi",2013,463188
83861,7.7,Cary Joji Fukunaga,"Drama, War",2015,73964
96962694,7.7,David Fincher,"Biography, Drama",2010,624982
146408305,7.7,Matthew Vaughn,"Action, Adventure, Sci-Fi",2011,645512
277322503,7.7,Todd Phillips,Comedy,2009,717559
304360277,7.7,Sam Mendes,"Action, Adventure, Thriller",2012,630614
132092958,7.7,David O. Russell,"Comedy, Drama, Romance",2012,661871
136025503,7.7,Ben Affleck,"Biography, Drama, Thriller",2012,572581
32391374,7.7,Marc Webb,"Comedy, Drama, Romance",2009,472242
295983305,7.7,David Yates,"Adventure, Family, Fantasy",2010,479120
15090400,7.7,Hayao Miyazaki,"Animation, Adventure, Comedy",2008,125317
18593156,7.7,Ron Howard,"Biography, Drama, History",2008,103330
881302,7.7,Satoshi Kon,"Animation, Drama, Fantasy",2006,71379
35739802,7.7,Clint Eastwood,"Biography, Crime, Drama",2008,239203
1752214,7.7,Rob Reiner,"Comedy, Drama, Romance",2010,81446
23530892,7.7,Mamoru Hosoda,"Animation, Adventure, Comedy",2006,60368
23530892,7.7,Shûsuke Kaneko,"Crime, Drama, Fantasy",2006,28630
327919,7.7,Shane Meadows,"Crime, Drama",2006,115576
25442958,7.7,Alex Garland,"Drama, Sci-Fi, Thriller",2014,474141
412544,7.7,Susanne Bier,Drama,2006,32001
17605861,7.7,Kevin Macdonald,"Biography, Drama, History",2006,175355
33080084,7.7,David Fincher,"Crime, Drama, Mystery",2007,466080
22494487,7.7,Paul McGuigan,"Action, Crime, Drama",2006,299524
1054361,7.7,Christian Carion,"Drama, History, Music",2005,28003
871577,7.7,Anton Corbijn,"Biography, Drama, Music",2007,61609
200821936,7.7,Nathan Greno,"Animation, Adventure, Comedy",2010,405922
4398392,7.7,Paul Verhoeven,"Drama, Thriller, War",2006,72643
83043761,7.7,Ang Lee,"Drama, Romance",2005,323103
53606916,7.7,James Mangold,"Action, Crime, Drama",2007,288797
54580300,7.7,Paul Haggis,"Crime, Drama, Thriller",2004,419483
17108591,7.7,Stephen Chow,"Action, Comedy, Fantasy",2004,127250
176241941,7.7,Paul Greengrass,"Action, Mystery, Thriller",2004,434841
1082715,7.7,Brad Anderson,"Drama, Thriller",2004,358432
75331600,7.7,Taylor Hackford,"Biography, Drama, Music",2004,138356
44585453,7.7,Sofia Coppola,"Comedy, Drama",2003,415074
290013036,7.7,Mike Newell,"Adventure, Family, Fantasy",2005,548619
77911774,7.7,Tony Scott,"Action, Crime, Drama",2004,329592
75286229,7.7,Henry Selick,"Animation, Drama, Family",2009,197761
111110575,7.7,Edward Zwick,"Action, Drama",2003,400049
4890878,7.7,Peter Mullan,Drama,2002,25938
4064200,7.7,Wolfgang Becker,"Comedy, Drama, Romance",2003,137981
15539266,7.7,Jim Sheridan,Drama,2002,40403
40311852,7.7,Jessie Nelson,Drama,2001,142863
22245861,7.7,Spike Jonze,"Comedy, Drama",2002,178565
108638745,7.7,Ridley Scott,"Drama, History, War",2001,364254
104454762,7.7,Sam Mendes,"Crime, Drama, Thriller",2002,246840
141072,7.7,Oliver Hirschbiegel,"Drama, Thriller",2001,90842
21995263,7.7,Stephen Daldry,"Drama, Music",2000,126770
3029081,7.7,John Cameron Mitchell,"Comedy, Drama, Music",2001,31957
183417150,7.7,Steven Soderbergh,"Crime, Thriller",2001,516372
151086,7.7,Yoshiaki Kawajiri,"Animation, Action, Fantasy",2000,29210
45512588,7.7,Joel Coen,"Adventure, Comedy, Crime",2000,286742
23530892,7.7,Bob Gale,"Adventure, Comedy, Drama",2002,29999
52037603,7.7,Trey Parker,"Animation, Comedy, Fantasy",1999,192112
10824921,7.7,Mike Judge,Comedy,1999,241575
2807390,7.7,Todd Solondz,"Comedy, Drama",1998,66408
76631907,7.7,Antoine Fuqua,"Crime, Drama, Thriller",2001,390247
17105219,7.7,Wes Anderson,"Comedy, Drama, Romance",1998,169229
368234,7.7,Alejandro Amenábar,"Drama, Mystery, Sci-Fi",1997,64082
22858926,7.7,Spike Jonze,"Comedy, Drama, Fantasy",1999,312542
148478011,7.7,James L. Brooks,"Comedy, Drama, Romance",1997,275755
63540020,7.7,Luc Besson,"Action, Adventure, Sci-Fi",1997,434125
4065116,7.7,Francis Veber,Comedy,1998,37424
41909762,7.7,Mike Newell,"Biography, Crime, Drama",1997,279318
35811509,7.7,Scott Hicks,"Biography, Drama, Music",1996,51350
