Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
23530892,8.3,Mehmet Ada Öztekin,Drama,2019,33935
23530892,8.3,Çagan Irmak,"Drama, Family",2005,78925
120540719,8.3,Quentin Tarantino,"Adventure, Drama, War",2009,1267869
34400301,8.3,Michel Gondry,"Drama, Romance, Sci-Fi",2004,911664
33225499,8.3,Jean-Pierre Jeunet,"Comedy, Romance",2001,703810
30328156,8.3,Guy Ritchie,"Comedy, Crime",2000,782001
3635482,8.3,Darren Aronofsky,Drama,2000,766870
130096601,8.3,Sam Mendes,Drama,1999,1069738
138433435,8.3,Gus Van Sant,"Drama, Romance",1997,861606
933933,8.3,Majid Majidi,"Drama, Family, Sport",1997,65341
191796233,8.3,John Lasseter,"Animation, Adventure, Comedy",1995,887429
75600000,8.3,Mel Gibson,"Biography, Drama, History",1995,959181
2832029,8.3,Quentin Tarantino,"Crime, Drama, Thriller",1992,918562
46357676,8.3,Stanley Kubrick,"Drama, War",1987,675146
23530892,8.3,Elem Klimov,"Drama, Thriller, War",1985,59056
85160248,8.3,James Cameron,"Action, Adventure, Sci-Fi",1986,652719
51973029,8.3,Milos Forman,"Biography, Drama, History",1984,369007
45598982,8.3,Brian De Palma,"Crime, Drama",1983,740911
309125409,8.3,Richard Marquand,"Action, Adventure, Fantasy",1983,950470
11487676,8.3,Wolfgang Petersen,"Adventure, Drama, Thriller",1981,231855
28262574,8.3,Martin Scorsese,"Crime, Drama",1976,724636
159600000,8.3,George Roy Hill,"Comedy, Crime, Drama",1973,241513
6207725,8.3,Stanley Kubrick,"Crime, Drama, Sci-Fi",1971,757904
56954992,8.3,Stanley Kubrick,"Adventure, Sci-Fi",1968,603517
15000000,8.3,Sergio Leone,Western,1965,232772
44824144,8.3,David Lean,"Adventure, Biography, Drama",1962,268085
18600000,8.3,Billy Wilder,"Comedy, Drama, Romance",1960,164363
13275000,8.3,Alfred Hitchcock,"Adventure, Mystery, Thriller",1959,299198
3200000,8.3,Alfred Hitchcock,"Mystery, Romance, Thriller",1958,364368
8819028,8.3,Stanley Donen,"Comedy, Musical, Romance",1952,218957
55240,8.3,Akira Kurosawa,Drama,1952,68463
332930,8.3,Vittorio De Sica,Drama,1948,146427
5720000,8.3,Billy Wilder,"Crime, Drama, Film-Noir",1944,143525
1585634,8.3,Orson Welles,"Drama, Mystery",1941,403351
28877,8.3,Fritz Lang,"Crime, Mystery, Thriller",1931,143434
1236166,8.3,Fritz Lang,"Drama, Sci-Fi",1927,159992
5450000,8.3,Charles Chaplin,"Comedy, Drama, Family",1921,113314
898575,8.2,Nitesh Tiwari,"Comedy, Drama",2019,33893
4186168,8.2,Aditya Dhar,"Action, Drama, War",2018,43444
23530892,8.2,Prashanth Neel,"Action, Drama",2018,36680
85080171,8.2,Peter Farrelly,"Biography, Comedy, Drama",2018,377884
54513740,8.2,Martin McDonagh,"Comedy, Crime, Drama",2017,432610
342370,8.2,Meghna Gulzar,"Crime, Drama, Mystery",2015,31142
20186659,8.2,S.S. Rajamouli,"Action, Drama",2017,75348
23530892,8.2,Sergio Pablos,"Animation, Adventure, Comedy",2019,104761
739478,8.2,Nishikant Kamat,"Crime, Drama, Mystery",2015,70367
