Genre,IMDB_Rating,No_of_Votes,Gross,Released_Year
Western,8.3,232772,15000000.0,1965
"Adventure, Biography, Drama",8.3,268085,44824144.0,1962
"Comedy, Drama, Romance",8.3,164363,18600000.0,1960
"Adventure, Mystery, Thriller",8.3,299198,13275000.0,1959
"Mystery, Romance, Thriller",8.3,364368,3200000.0,1958
"Comedy, Musical, Romance",8.3,218957,8819028.0,1952
Drama,8.3,68463,55240.0,1952
Drama,8.3,146427,332930.0,1948
"Crime, Drama, Film-Noir",8.3,143525,5720000.0,1944
"Drama, Mystery",8.3,403351,1585634.0,1941
"Crime, Mystery, Thriller",8.3,143434,28877.0,1931
"Drama, Sci-Fi",8.3,159992,1236166.0,1927
"Comedy, Drama, Family",8.3,113314,5450000.0,1921
"Comedy, Drama",8.2,33893,898575.0,2019
"Action, Drama, War",8.2,43444,4186168.0,2018
"Action, Drama",8.2,36680,23530892.0,2018
"Biography, Comedy, Drama",8.2,377884,85080171.0,2018
"Comedy, Crime, Drama",8.2,432610,54513740.0,2017
"Crime, Drama, Mystery",8.2,31142,342370.0,2015
"Action, Drama",8.2,75348,20186659.0,2017
"Animation, Adventure, Comedy",8.2,104761,23530892.0,2019
"Crime, Drama, Mystery",8.2,70367,739478.0,2015
"Adventure, Comedy, Drama",8.2,60701,1429534.0,2013
"Drama, War",8.2,40382,144501.0,2013
"Biography, Drama, Sport",8.2,61137,1626289.0,2013
"Action, Comedy, Crime",8.2,82365,23530892.0,2012
Drama,8.2,42341,7461.0,2010
"Action, Biography, Crime",8.2,33237,39567.0,2012
"Drama, Mystery, Romance",8.2,193217,6391436.0,2009
"Action, Drama, Sport",8.2,435950,13657115.0,2011
"Mystery, Thriller",8.2,1129894,128012934.0,2010
"Animation, Adventure, Comedy",8.2,935507,293004164.0,2009
"Biography, Crime, Drama",8.2,1187498,116900694.0,2013
"Drama, Family, Sport",8.2,74129,1113541.0,2007
Drama,8.2,517359,40222514.0,2007
"Drama, Fantasy, War",8.2,618623,37634615.0,2006
"Animation, Adventure, Comedy",8.2,757032,415004880.0,2010
"Action, Drama, Sci-Fi",8.2,1032749,70511035.0,2005
"Comedy, Crime, Drama",8.2,111937,2197331.0,2006
Drama,8.2,33354,733094.0,2005
"Action, Adventure",8.2,1308302,206852432.0,2005
Drama,8.2,83005,1223240.0,2004
"Biography, Drama, History",8.2,331308,5509040.0,2004
"Animation, Adventure, Family",8.2,333915,4711096.0,2004
"Biography, Drama",8.2,848920,170742341.0,2001
"Action, Comedy, Crime",8.2,57057,23530892.0,2000
"Action, Comedy, Crime",8.2,535216,3897569.0,1998
"Crime, Drama, Mystery",8.2,531967,64616940.0,1997
"Crime, Drama, Thriller",8.2,64118,23530892.0,1996
"Crime, Drama, Thriller",8.2,577113,67436818.0,1995
"Crime, Drama",8.2,466276,42438300.0,1995
"Action, Comedy, Romance",8.2,49300,23530892.0,1994
"Drama, Western",8.2,375935,101157447.0,1992
"Action, Adventure",8.2,692366,197171806.0,1989
"Comedy, Crime, Drama",8.2,26402,280015.0,1988
"Animation, Family, Fantasy",8.2,291180,1105564.0,1988
"Action, Thriller",8.2,793164,83008852.0,1988
"Action, Drama, War",8.2,112505,4135750.0,1985
"Biography, Drama, Sport",8.2,321860,23383987.0,1980
"Drama, Sci-Fi",8.2,116945,234723.0,1979
"Drama, Music",8.2,26875,23530892.0,1978
"Biography, Drama, History",8.2,43885,23530892.0,1976
"Action, Adventure, Comedy",8.2,51284,23530892.0,1975
"Adventure, Comedy, Fantasy",8.2,500875,1229197.0,1975
"Adventure, Drama, History",8.2,224730,12100000.0,1963
"Crime, Drama",8.2,293811,23530892.0,1962
"Action, Drama, Thriller",8.2,111244,23530892.0,1961
"Drama, War",8.2,69458,23530892.0,1961
"Comedy, Music, Romance",8.2,243943,25000000.0,1959
"Drama, Romance",8.2,96381,23530892.0,1957
"Drama, Fantasy, History",8.2,164939,23530892.0,1957
"Crime, Drama, Thriller",8.2,28810,57226.0,1955
"Crime, Thriller",8.2,158335,12562.0,1954
Drama,8.2,53153,23530892.0,1953
"Crime, Drama, Mystery",8.2,152572,96568.0,1950
Drama,8.2,120539,10177.0,1950
"Adventure, Drama, Western",8.2,114304,5014000.0,1948
"Comedy, War",8.2,29915,23530892.0,1942
"Adventure, Comedy, Drama",8.2,101053,5450000.0,1925
"Action, Comedy, Romance",8.2,41985,977375.0,1924
"Drama, Romance",8.1,63134,3759854.0,2019
"Drama, Thriller",8.1,39216,1241223.0,2016
"Animation, Drama, Family",8.1,47708,23530892.0,2016
"Crime, Drama, Mystery",8.1,141516,23530892.0,2016
"Drama, Romance, Thriller",8.1,113649,2006788.0,2016
Drama,8.1,50700,3492754.0,2014
"Action, Crime, Drama",8.1,50445,901610.0,2014
"Action, Drama, Sci-Fi",8.1,647884,226277068.0,2017
"Drama, Thriller",8.1,371538,14677674.0,2015
"Comedy, Drama, Thriller",8.1,177059,3107072.0,2014
"Animation, Adventure, Comedy",8.1,159171,23530892.0,2020
Drama,8.1,46547,165520.0,2014
"Comedy, Drama, Musical",8.1,163061,10616104.0,2014
"Comedy, Drama, Fantasy",8.1,51739,923221.0,2012
"Adventure, Comedy, Crime",8.1,707630,59100318.0,2014
"Drama, Mystery, Thriller",8.1,859695,167767189.0,2014
"Animation, Drama, Fantasy",8.1,38803,23530892.0,2012
"Biography, Drama, History",8.1,435928,67209615.0,2016
"Animation, Adventure, Comedy",8.1,616228,356461711.0,2015
"Comedy, Drama, Romance",8.1,75721,2804874.0,2012
"Biography, Drama, History",8.1,640533,56671993.0,2013
"Action, Biography, Drama",8.1,432811,26947624.0,2013
"Action, Biography, Drama",8.1,291289,117624028.0,2019
"Biography, Crime, Drama",8.1,420316,45055776.0,2015
"Animation, Adventure, Drama",8.1,51679,857524.0,2014
"Mystery, Thriller",8.1,57806,1035953.0,2012
"Comedy, Drama",8.1,67927,3108485.0,2011
"Crime, Drama, Mystery",8.1,601149,61002302.0,2013
"Action, Adventure, Sci-Fi",8.1,882316,154058340.0,2015
"Action, Crime, Drama",8.1,73891,23530892.0,2008
Drama,8.1,720450,148095302.0,2008
"Adventure, Drama, Fantasy",8.1,764493,381011219.0,2011
"Drama, Music",8.1,48582,1498210.0,2008
