IMDB_Rating,No_of_Votes,Gross
8.1,90729,4043686.0
8.1,63122,600200.0
8.1,867615,402453882.0
8.1,156842,25010410.0
8.1,25088,5216888.0
8.1,29662,2603061.0
8.1,425457,95860116.0
8.1,363401,52287414.0
8.1,381222,138530565.0
8.1,91188,2181987.0
8.1,150924,495770.0
8.1,371271,13782838.0
8.1,76081,22244207.0
8.1,31595,
8.1,57784,4971340.0
8.1,693827,32868943.0
8.1,220078,
8.1,367250,20045115.0
8.1,311361,48979328.0
8.1,518546,117235247.0
8.1,144911,
8.1,149843,
8.1,40081,177345.0
8.1,294230,29000000.0
8.1,42285,30933743.0
8.1,30206,1742348.0
8.1,81021,
8.1,45434,39481.0
8.1,161984,16217773.0
8.1,103191,
8.1,46947,102021.0
8.1,53089,55908.0
8.1,29682,
8.1,50058,4050000.0
8.1,33044,
8.1,68827,
8.1,31728,
8.1,26697,1526000.0
8.1,27254,
8.1,105291,
8.1,219466,74700000.0
8.1,34797,
8.1,42940,752045.0
8.1,46678,
8.1,203463,44908000.0
8.1,142107,9600000.0
8.1,54588,
8.1,31568,3969893.0
8.1,29807,
8.1,158731,449191.0
8.1,30935,10900000.0
8.1,28450,203300.0
8.1,123942,4360000.0
8.1,107017,9600000.0
8.1,290074,198676459.0
8.1,33829,172885.0
8.1,94016,4360000.0
8.1,47676,21877.0
8.1,30205,
8.1,46865,539540.0
8.1,81156,1033895.0
8.1,57428,
8.0,27978,
8.0,37556,
8.0,52897,
8.0,72245,8178001.0
8.0,52848,
8.0,505918,151101803.0
8.0,213970,51739495.0
8.0,760094,228433663.0
8.0,434143,341268248.0
8.0,102972,6738000.0
8.0,38746,1506975.0
8.0,141923,132422809.0
8.0,31886,5566534.0
8.0,51069,1079369.0
8.0,81770,1010414.0
8.0,114316,2625803.0
8.0,685201,91125683.0
8.0,1043455,333176600.0
8.0,461823,92054159.0
8.0,540772,25568251.0
8.0,450349,216428042.0
8.0,705589,183637894.0
8.0,462252,17738570.0
8.0,79200,100119.0
8.0,639603,138797449.0
8.0,428521,169708112.0
8.0,902669,363070709.0
8.0,45803,106662.0
8.0,28749,10950.0
8.0,211427,
8.0,98575,4018695.0
8.0,31838,
8.0,798882,141319928.0
8.0,699673,106954678.0
8.0,98097,8060.0
8.0,1260806,623279547.0
8.0,88656,4445756.0
8.0,441614,27298285.0
8.0,448930,163566459.0
8.0,499439,57366262.0
8.0,604694,227471070.0
8.0,50610,238507.0
8.0,738512,74103820.0
8.0,103284,5990075.0
8.0,56960,
8.0,641645,206445654.0
8.0,582239,167445960.0
8.0,683900,66208183.0
8.0,42399,502028.0
8.0,77520,2380788.0
8.0,77554,2086345.0
8.0,176151,61649911.0
8.0,63460,1787378.0
8.0,117857,169659.0
8.0,1015122,305413918.0
8.0,415218,66257002.0
8.0,657047,261441092.0
8.0,45403,
8.0,137963,1530386.0
8.0,33592,
8.0,740086,1480006.0
8.0,289742,22455976.0
8.0,102285,4184036.0
8.0,82002,6203044.0
8.0,58192,776665.0
8.0,78341,1647780.0
8.0,36419,5595428.0
8.0,172083,23159305.0
8.0,27721,3296.0
8.0,86838,24475416.0
8.0,37564,13417292.0
8.0,578443,57141459.0
8.0,129231,515905.0
8.0,300208,75082668.0
8.0,577991,70906973.0
8.0,28825,4496583.0
8.0,263918,63895607.0
8.0,373845,217350219.0
8.0,142110,70405498.0
8.0,417178,218967620.0
8.0,240266,184208848.0
8.0,89429,27545445.0
8.0,473064,178800000.0
8.0,164918,553171.0
8.0,393899,30857814.0
8.0,64722,3333969.0
8.0,31163,4542825.0
8.0,150140,
8.0,799795,38400000.0
8.0,217664,52767889.0
8.0,32195,
8.0,65625,30177511.0
8.0,251823,39200000.0
8.0,543388,260000000.0
8.0,235652,50000000.0
8.0,143359,86300000.0
8.0,121627,53267000.0
8.0,362393,232906145.0
8.0,44748,4081254.0
8.0,42456,29133000.0
8.0,39491,80500000.0
8.0,27067,541940.0
8.0,201888,102308889.0
8.0,193674,
8.0,165167,33395426.0
8.0,253676,104945305.0
8.0,68926,
8.0,205425,163214286.0
8.0,69903,111722000.0
8.0,198219,14500000.0
8.0,108844,50690.0
8.0,28057,
8.0,75067,8284000.0
8.0,66621,19516000.0
8.0,56305,12535000.0
8.0,59847,11900000.0
8.0,98431,2237659.0
8.0,45062,17570324.0
8.0,28137,
8.0,81702,
8.0,81980,654000.0
8.0,58314,
8.0,61503,
8.0,51046,
8.0,127256,
8.0,99182,8000000.0
8.0,26784,
8.0,34485,
8.0,129783,
8.0,32784,
8.0,35601,
8.0,42725,4360000.0
8.0,57259,23650000.0
8.0,65101,
8.0,148928,2108060.0
8.0,85559,55000.0
8.0,371379,2076020.0
8.0,26725,
8.0,26642,
8.0,57318,3270000.0
8.0,53054,50970.0
7.9,454203,165359751.0
7.9,111478,
7.9,62754,3313513.0
7.9,246644,2000000.0
7.9,212651,18095701.0
7.9,53818,258168.0
7.9,139114,32015231.0
7.9,111483,5202582.0
7.9,189400,5875006.0
7.9,85109,3237118.0
7.9,587775,315058289.0
7.9,466134,32381218.0
7.9,297918,349555.0
7.9,594181,100546139.0
7.9,860823,936662225.0
7.9,141457,8114627.0
7.9,659763,233921534.0
7.9,41995,138730.0
7.9,230624,44671682.0
7.9,600004,100206256.0
7.9,93090,6739492.0
7.9,324720,7000000.0
7.9,93560,2084637.0
7.9,335152,5009677.0
7.9,205609,2122065.0
7.9,638202,115646235.0
7.9,289415,26236603.0
7.9,47720,410800.0
7.9,335533,25379975.0
7.9,56625,1185783.0
7.9,577336,257730019.0
7.9,390334,7757130.0
7.9,174125,
7.9,154011,13756082.0
7.9,107290,2280348.0
7.9,580708,124987023.0
7.9,199696,21002919.0
7.9,31476,
7.9,57430,3635164.0
7.9,939644,318412101.0
7.9,512249,13542874.0
7.9,51325,
7.9,419420,90135191.0
7.9,552493,249358727.0
7.9,173999,53710019.0
7.9,104691,9284265.0
7.9,44618,1059830.0
7.9,42897,1000045.0
7.9,508771,121661683.0
7.9,49721,1221261.0
7.9,465113,35552383.0
7.9,252586,32534850.0
7.9,322031,7220243.0
7.9,527512,245852179.0
7.9,239473,26400640.0
7.9,51943,
7.9,31590,2201126.0
7.9,206918,12281500.0
7.9,89836,1324974.0
7.9,34529,
7.9,201000,36948322.0
7.9,447368,56362352.0
7.9,68076,14743391.0
7.9,54670,18254702.0
7.9,281842,76270454.0
7.9,67176,40084041.0
7.9,187567,9929135.0
7.9,128812,188751.0
7.9,132947,20605209.0
7.9,183182,57229890.0
7.9,131436,45700000.0
7.9,28223,37823676.0
7.9,111512,5100000.0
7.9,103031,70600000.0
7.9,37183,61001.0
7.9,39897,
7.9,38737,198809.0
7.9,52397,
7.9,70826,
7.9,93741,61700000.0
7.9,77401,12064472.0
7.9,116557,89029.0
7.9,29003,22276975.0
7.9,67804,24379978.0
7.9,68689,13474588.0
7.9,71122,
7.9,124339,30000000.0
7.9,26542,
7.9,28421,88300.0
7.9,63560,93740000.0
7.9,80316,
7.9,40313,
7.9,97222,9450000.0
7.9,123341,7630000.0
7.9,52573,
7.9,41625,2650000.0
7.9,92306,10464000.0
7.9,78796,6540000.0
7.9,33549,9460000.0
7.9,63550,
7.9,53667,296000.0
7.9,47175,3981000.0
7.9,30580,2537520.0
7.9,78991,10000000.0
7.9,42117,
7.9,88794,
7.8,237392,
7.8,25344,
7.8,27187,
7.8,51240,2402067.0
7.8,555092,188373161.0
7.8,57168,
7.8,200876,169607287.0
7.8,61594,40442052.0
7.8,27175,
7.8,118035,48023088.0
7.8,40416,1782795.0
7.8,246963,47695120.0
7.8,35539,435266.0
7.8,556608,532177324.0
7.8,663649,408084349.0
7.8,517059,54117416.0
7.8,143250,108101214.0
7.8,50778,6735118.0
7.8,51841,
7.8,45002,1330596.0
7.8,81125,2852400.0
7.8,50523,4231500.0
7.8,39710,169209.0
7.8,410983,222527828.0
7.8,303032,15322921.0
7.8,33618,1670773.0
7.8,73690,5209580.0
7.8,203177,434038008.0
7.8,108399,85433.0
7.8,318789,45512466.0
7.8,305611,177002924.0
7.8,362942,70259870.0
7.8,35713,
7.8,111252,128392.0
7.8,423010,102515793.0
7.8,421244,107100855.0
7.8,62848,6460.0
7.8,179264,161197785.0
7.8,52758,547292.0
7.8,58468,
7.8,601408,258366855.0
7.8,68715,2222647.0
7.8,208994,10095170.0
7.8,89896,
7.8,33931,
7.8,340584,93617009.0
7.8,564791,145000989.0
7.8,190748,9030581.0
7.8,110656,9439923.0
7.8,757377,303003568.0
7.8,30827,741283.0
7.8,251370,50927067.0
7.8,571571,35061555.0
7.8,392449,130164645.0
7.8,1118998,760507625.0
7.8,216421,3600.0
7.8,291018,50866635.0
7.8,439856,59891098.0
7.8,463466,23637265.0
7.8,589160,127509326.0
7.8,49050,2921738.0
7.8,45717,1305.0
7.8,258924,38405088.0
7.8,51980,5128124.0
7.8,31658,128985.0
7.8,283310,25514517.0
7.8,234207,119519402.0
7.8,35682,15280.0
7.8,520284,81001787.0
7.8,96703,16756372.0
7.8,42673,181655.0
7.8,50622,7002255.0
7.8,26518,
7.8,129022,54234062.0
7.8,60684,2892011.0
7.8,198089,115654751.0
7.8,253228,128078872.0
7.8,89058,8264530.0
7.8,524235,233632142.0
7.8,227143,25812.0
7.8,159886,28965197.0
7.8,82855,32481825.0
7.8,613941,267665011.0
7.8,1046089,659325379.0
7.8,27712,233986.0
7.8,280845,12339633.0
7.8,345096,48323648.0
7.8,62428,4040691.0
7.8,164937,5887457.0
7.8,215034,9170214.0
7.8,126871,56505065.0
7.8,78963,32416586.0
7.8,66065,22954968.0
7.8,34635,1769305.0
7.8,267684,183875760.0
7.8,128171,17266971.0
7.8,43690,5617391.0
7.8,46700,
7.8,55362,2015810.0
7.8,42376,1999955.0
7.8,126082,57504069.0
7.8,184740,61276872.0
7.8,125276,52096475.0
7.8,124193,
7.8,122779,26830000.0
7.8,45624,
7.8,481918,118500000.0
7.8,88214,34603943.0
7.8,371387,59735548.0
7.8,148359,5923044.0
7.8,321382,70136369.0
7.8,47834,1436000.0
7.8,244430,61503218.0
7.8,78321,98467863.0
7.8,357026,45875171.0
7.8,51585,34700291.0
7.8,355413,238632124.0
7.8,56235,21500000.0
7.8,88511,2500000.0
7.8,372490,435110554.0
7.8,133351,106260000.0
7.8,52852,
7.8,65659,31800000.0
7.8,44917,
7.8,98611,4420000.0
7.8,25229,193817.0
7.8,37445,16056255.0
7.8,66009,
7.8,48334,42765000.0
7.8,178731,4000000.0
7.8,101124,44785053.0
7.8,27733,17550741.0
7.8,39642,56700000.0
7.8,102415,
7.8,86525,72000000.0
7.8,158029,102272727.0
7.8,52141,39100000.0
7.8,37605,
7.8,27007,2616000.0
7.8,73251,336705.0
7.8,28167,
7.8,36995,
7.8,31053,
7.8,59556,
7.8,43621,
7.8,47400,
7.8,55163,
7.8,43542,4360000.0
7.8,55581,
7.8,25312,
7.8,65341,
7.7,140375,
7.7,25198,335609.0
7.7,478586,324591735.0
7.7,205444,33800859.0
